arise arose arisen
awake awoke awoke
bear bore born
beat beat beaten
become became become
befall befell befallen
beget begot,begat begot,begotten
begin began begun
behold beheld beheld
bend bent bent
beseech beseech,besought beseech,besought
beset beset beset
bestride bestrode bestridden
bet bet bet
bid bid bid
bind bound bound
bite bit bitten
bleed bled bled
bless blessed,blest blessed,blest
blow blew blown
break broke broken
breed bred bred
bring brought brought
broadcast broadcast,broadcasted broadcast,broadcasted
browbeat browbeat browbeaten
build built built
burn burnt burnt
burst burst burst
bust bust,busted bust,busted
buy bought bought
cast cast cast
catch caught caught
choose chose chosen
cleave cleave,clove,cleft cleaved,cloven
cling clung clung
come came come
cost cost cost
creep crept crept
cut cut cut
deal dealt dealt
dig dug dug
do did done
draw drew drawn
dream dreamt,dreamed dreamt,dreamed
drink drank drunk
drive drove driven
dwell dwelt dwelt
eat ate eaten
fall fell fallen
feed fed fed
feel felt felt
fight fought fought
find found found
fit fit fit
flee fled fled
fling flung flung
fly flew flown
forbear forbore forborne
forbid forbade,forbad forbidden
forecast forecast,forecasted forecast,forecasted
foresee foresaw foreseen
foretell foretold foretold
forget forgot forgotten
forgive forgave forgiven
forsake forsook forsaken
forswear forswore foresworn
freeze froze frozen
gainsay gainsaid gainsaid
get got got
gird girt,girded girt,girded
give gave given
go went gone
grind ground ground
grow grew grown
hang hung hung
have had had
hew hewed hewed,hewn
hear heard heard
hide hid hidden
hit hit hit
hold held held
hurt hurt hurt
input input,inputted input,inputted
inset inset inset
interweave interwove interwoven
keep kept kept
kneel knelt knelt
knit knit,knitted knit,knitted
know knew known
lay laid laid
lean leant,leaned leant,leaned
lead led led
learn learnt,learned learnt,learned
leap leapt,leaped leapt,leaped
leave left left
lend lent lent
let let let
lie lay lain
light lit lit
lose lost lost
make made made
mean meant meant
meet met met
miscast miscast miscast
mishear misheard misheard
mishit mishit mishit
mislay mislaid mislaid
mislead misled misled
misread misread misread
misspell misspelt,misspelled misspelt,misspelled
misspend misspent misspent
mistake mistook mistaken
misunderstand misunderstood misunderstood
mow mowed mowed,mown
outbid outbid outbid
outdo outdid outdone
outgrow outgrew outgrown
output output output
outrun outran outrun
outsell outsold outsold
outshine outshone outshone
overbid overbid overbid
overcome overcame overcome
overdo overdid overdone
overeat overate overeaten
overfly overflew overflown
overhang overhung overhung
overhear overheard overheard
overlay overlaid overlaid
overpay overpaid overpaid
override overrode overridden
overrun overran overrun
oversee oversaw overseen
overshoot overshot overshot
oversleep overslept overslept
overtake overtook overtaken
overthrow overthrew overthrown
partake partook partaken
pay paid paid
prepay prepaid prepaid
prove proved proved,proven
put put put
quit quit quit
read read read
rebuild rebuilt rebuilt
recast recast recast
redo redid redone
remake remade remade
rend rent rent
repay repaid repaid
rerun reran rerun
resell resold resold
reset reset reset
resit resat resat
retake retook retaken
retell retold retold
rewrite rewrote rewritten
ride rode ridden
ring rung rung
rise rose risen
run ran run
saw sawed sawn
say said said
see saw seen
seek sought sought
sell sold sold
send sent sent
set set set
sew sewed sewn
shake shook shaken
shear sheared sheared,shorn
shed shed shed
shine shone shone
shoe shod shod
shoot shot shot
show showed shown
shrink shrank,shrunk shrunk
shut shut shut
sing sang sung
sink sank sunk
sit sat sat
slay slew slain
sleep slept slept
slide slid slid
sling slung slung
slink slunk slunk
slit slit slit
smell smelt smelt
smite smote smitten
sow sowed sown
speak spoke spoken
speed sped,speeded sped,speeded
spend spent spent
spell spelt,spelled spelt,spelled
spill spilt,spilled spilt,spilled
spin spun spun
spit spat spat
split split split
spoil spoilt,spoiled spoilt,spoiled
spotlight spotlit,spotlighted spotlit,spotlighted
spread spread spread
spring sprang sprung
stand stood stood
stick stuck stuck
sting stung stung
stink stank,stunk stunk
steal stole stolen
strew strewed strewn
stride strode stridden
strike struck struck
string strung strung
strive strove striven
sublet sublet sublet
swear swore sworn
sweep swept swept
swell swelled swollen
swim swam swum
swing swung swung
take took taken
teach taught taught
tear tore torn
tell told told
think thought thought
thrive throve,thrived thriven,thrived
throw threw thrown
thrust thrust thrust
tread trod trodden
unbend unbent unbent
undercut undercut undercut
undergo underwent undergone
underlie underlay underlain
underpay underpaid underpaid
undersell undersold undersold
understand understood understood
underwrite underwrote underwritten
undertake undertook undertaken
undo undid undone
unwind unwound unwound
uphold upheld upheld
upset upset upset
wake woke woken
waylay waylaid waylaid
wear wore worn
weave wove woven
wed wed,wedded wed,wedded
weep wept wept
wet wet,wetted wet,wetted
win won won
wind wound wound
withdraw withdrew withdrawn
withhold withheld withheld
withstand withstood withstood
wring wrung wrung
write wrote written
